BENE_SEX_IDENT_CD,BENE_AGE_CAT_CD,CC_ALZHDMTA,CC_CANCER,CC_CHF,CC_CHRNKIDN,CC_COPD,CC_DEPRESSN,CC_DIABETES,CC_ISCHMCHT,CC_OSTEOPRS,CC_RA_OA,CC_STRKETIA,CC_2_OR_MORE,DUAL_STUS,BENE_COUNT_PA_EQ_12,AVE_PA_PAY_PA_EQ_12,AVE_IP_PAY_PA_EQ_12,AVE_SNF_PAY_PA_EQ_12,AVE_OTH_PAY_PA_EQ_12,AVE_IP_ADM_PA_EQ_12,AVE_SNF_DAYS_PA_EQ_12,BENE_COUNT_PB_EQ_12,AVE_PB_PAY_PB_EQ_12,AVE_CA_PAY_PB_EQ_12,AVE_OP_PAY_PB_EQ_12,AVE_OTH_PAY_PB_EQ_12,AVE_CA_VST_PB_EQ_12,AVE_OP_VST_PB_EQ_12,BENE_COUNT_PC_EQ_12,BENE_COUNT_PD_EQ_12,AVE_PDE_CST_PD_EQ_12,AVE_PDE_PD_EQ_12,TotRx,TotRxRound,TotComorbid
BENE_SEX_IDENT_CD,1,0.0763337513695404,0.0425171184383281,-0.0721131818908067,-0.00500478685651492,-0.0405669846960659,-0.0391688636584565,0.0921510785114062,-0.017662104280946,-0.0545912942580341,0.212094378153801,0.103214202826022,-8.3095976652005e-05,0.0684300963696344,0.0684335825354358,-0.017330890173789,-0.0113195280824798,-0.0862444752473397,0.119231727065489,0.162341284725569,-0.027818036586084,0.118553883706839,-0.0147765410583712,-0.0228627350276422,-0.0464786943411946,-0.0595787167129833,0.139873114551282,0.00785775810086528,0.100296834687937,-0.00289749739504693,0.000549328133726147,0.0710824192895203,0.222179210118502,0.0175373902324601,0.0175373907461345,0.102346656102845
BENE_AGE_CAT_CD,0.0763337513695404,1,0.276685626964339,0.00148038117116694,0.0829055423464628,0.0526404524985001,-0.0386484947001023,-0.0754150741930928,-0.0801781289602092,0.0459309710853811,0.0682617053517209,0.0168018683277029,0.0145577133564282,0.0657555127871559,-0.0933031410327365,-0.0690175833518617,0.104485007590127,-0.130930276460828,0.486306762457133,0.524842935551176,-0.0571476312485959,0.461710162534716,-0.0730355838103946,-0.207553325185081,-0.150974569276417,-0.300819051720863,0.103870275912706,-0.156481681807803,-0.254585621208306,-0.0218117265557954,-0.0549394390481179,-0.438832797435646,-0.0947761986403063,-0.0744696930138324,-0.0744696974205113,0.100797826636216
CC_ALZHDMTA,0.0425171184383281,0.276685626964339,1,-0.134056393203566,-0.0116848123247125,-0.0406464049335675,-0.174074329213846,0.0118237424770375,-0.02776649474958,-0.0151168358128708,-0.0606219106264712,-0.0520904213017694,-0.0569759433256664,0.160064149147497,0.0610266418451108,-0.0836346426536182,0.234649113316363,-0.0352924775671383,0.58145549479087,0.716519107195597,0.0301783704561455,0.60152223182986,-0.0972724842666974,-0.100304770043301,-0.196268161846732,-0.138818311924246,0.269466487700961,-0.481731854515561,-0.110324721054356,-0.0501097192775547,-0.0729249450045872,0.233152563025724,0.24753108592554,-0.0849779116702802,-0.084977914636839,0.249667641667369
CC_CANCER,-0.0721131818908067,0.00148038117116694,-0.134056393203566,1,-0.144070276880611,-0.0801524324928754,-0.0468868284303374,-0.0769644209335213,-0.0754211161682275,-0.098283088588111,-0.0574944581089846,-0.107031722453389,-0.0530005842275595,-0.0391696888519566,-0.115102955032067,-0.0224074733985905,-0.156519752476171,-0.115242581262415,-0.1760132723638,-0.136058630922487,-0.140285064310981,-0.171074261006732,-0.0239882498708693,0.13940822508308,0.355226025428755,0.0745909356387966,-0.214762759535451,0.163532537203976,0.0490610999476955,-0.0226404069646788,-0.0277667535630541,-0.191566932336253,-0.300768241810858,-0.0399486638137807,-0.0399486640871957,-0.150191454624508
CC_CHF,-0.00500478685651492,0.0829055423464628,-0.0116848123247125,-0.144070276880611,1,0.122747843810714,0.0292197954949426,-0.150460754544694,0.0638295879036163,0.192258540165319,-0.149444317641274,-0.0231328458877633,-0.125025202629444,0.216501282209351,0.00193948102203031,-0.0952047161545393,0.501338809127771,0.481698406173113,0.2906612552015,0.311869623112867,0.470298317197951,0.274300771235497,-0.110045987192482,0.359685489782945,0.287573369178969,0.27711993707952,0.426628897089243,0.187093290397616,0.395345816202238,-0.0614597138894726,-0.086652802174894,0.144005180824958,0.396870894047388,-0.0961975474842345,-0.0961975481935466,0.420982533782225
CC_CHRNKIDN,-0.0405669846960659,0.0526404524985001,-0.0406464049335675,-0.0801524324928754,0.122747843810714,1,-0.094961732393402,-0.179017362396685,0.113165205901094,0.0692206808310601,-0.138795353149857,-0.026456522878156,-0.127044595912832,0.173681300635769,-0.0384859899871275,-0.0785957666513945,0.541700384723888,0.560147418893701,0.288424942724987,0.186385153910058,0.51439026193725,0.275688644418346,-0.0906330717054919,0.536719037575899,0.487565031070505,0.519497087161602,0.23940137331626,0.249582072360942,0.515180203114848,-0.0535338027272214,-0.0739842726295429,0.154844218722189,0.16949184652984,-0.0842868790751049,-0.0842868759367528,0.312274375500277
CC_COPD,-0.0391688636584565,-0.0386484947001023,-0.174074329213846,-0.0468868284303374,0.0292197954949426,-0.094961732393402,1,-0.0953631527416214,-0.0928046771049122,0.032440877011637,-0.0854011452651488,-0.148321777982904,-0.0865749068323827,0.0740402763841371,-0.0911453112129698,-0.0520880151547656,0.148700070861048,0.206586034856137,-0.0515811980151873,-0.00304907877606077,0.286051503957049,-0.0653342786109258,-0.0597999079394244,0.0413153388466473,0.078740717863728,-0.0354763661462075,0.142131545636774,0.17872280362818,0.0476241078131248,-0.0373439201824422,-0.0498644624859288,0.0575313692355477,0.0064347698627893,-0.057843397233898,-0.0578433962647905,0.0338995515213961
CC_DEPRESSN,0.0921510785114062,-0.0754150741930928,0.0118237424770375,-0.0769644209335213,-0.150460754544694,-0.179017362396685,-0.0953631527416214,1,-0.0880982090624897,-0.0925769134318945,-0.0308090442117153,-0.0743475631723287,-0.0677033779525096,0.0955564082352049,-0.0267967052165133,-0.0432745310842975,0.0346843665946931,0.00748001784937189,0.113740783581349,0.00319598879353292,0.0689851604067541,0.114730845452939,-0.0475104152049539,-0.0238146240442698,-0.0218998184540466,-0.0365119753512205,0.0260776911559969,-0.0259065442790131,0.146738598971228,-0.0400155182983766,-0.0411516528139091,0.171444792221908,0.143379611714639,-0.0341665967481766,-0.0341665967943298,0.0406300406005136
CC_DIABETES,-0.017662104280946,-0.0801781289602092,-0.02776649474958,-0.0754211161682275,0.0638295879036163,0.113165205901094,-0.0928046771049122,-0.0880982090624897,1,0.0752646717993875,-0.124721260574062,-0.0129766065539484,-0.0495236066281665,0.272261065796099,0.0403523692771881,-0.0727556602339208,0.104329305616847,0.137778516179058,0.0208124534345054,-0.0542524215860012,0.118740137780422,0.0252787474624729,-0.0774574429834556,0.230101013003725,0.176811538809285,0.146553628250081,0.369283556802298,0.195528232540465,0.180443453418524,-0.0689570474724371,-0.0762974103503233,0.373731441359796,0.472899335592887,-0.0662986299803689,-0.066298632452498,0.430303251766116
CC_ISCHMCHT,-0.0545912942580341,0.0459309710853811,-0.0151168358128708,-0.098283088588111,0.192258540165319,0.0692206808310601,0.032440877011637,-0.0925769134318945,0.0752646717993875,1,-0.102772784880565,-0.00648992583356614,-0.0715487592774522,0.294040714517384,-0.0372691691704063,-0.078719236886949,0.337953261814206,0.3702704674003,0.13351912099169,0.0872204063255653,0.37741151226468,0.120638075812949,-0.0843307561866754,0.305076162267001,0.369351454887996,0.193619253394588,0.232224824740175,0.395949575353358,0.225824760359287,-0.0740847516094284,-0.0869129850727555,0.148845475217301,0.258739708059452,-0.0914628423280204,-0.0914628429413488,0.477875018018287
