BENE_SEX_IDENT_CD,BENE_AGE_CAT_CD,CC_ALZHDMTA,CC_CANCER,CC_CHF,CC_CHRNKIDN,CC_COPD,CC_DEPRESSN,CC_DIABETES,CC_ISCHMCHT,CC_OSTEOPRS,CC_RA_OA,CC_STRKETIA,CC_2_OR_MORE,DUAL_STUS,BENE_COUNT_PA_EQ_12,AVE_PA_PAY_PA_EQ_12,AVE_IP_PAY_PA_EQ_12,AVE_SNF_PAY_PA_EQ_12,AVE_OTH_PAY_PA_EQ_12,AVE_IP_ADM_PA_EQ_12,AVE_SNF_DAYS_PA_EQ_12,BENE_COUNT_PB_EQ_12,AVE_PB_PAY_PB_EQ_12,AVE_CA_PAY_PB_EQ_12,AVE_OP_PAY_PB_EQ_12,AVE_OTH_PAY_PB_EQ_12,AVE_CA_VST_PB_EQ_12,AVE_OP_VST_PB_EQ_12,BENE_COUNT_PC_EQ_12,BENE_COUNT_PD_EQ_12,AVE_PDE_CST_PD_EQ_12,AVE_PDE_PD_EQ_12
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,982758,290,256,8,26,0.032,0.019,637117,890,473,278,139,1.948,1.127,339852,516476,2480,29.415
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,613282,913,843,36,34,0.092,0.095,581822,1688,829,564,295,2.957,2.786,159910,753223,3479,28.795
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4265,3536,3109,229,198,0.36,0.453,4024,3064,1640,980,444,6.07,3.872,113,1685,2751,33.657
1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3982,7164,5990,893,281,0.509,2.19,3865,5242,2629,1753,860,6.105,6.118,90,3963,3979,43.839
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,37329,1487,1317,66,104,0.142,0.147,36156,3145,1978,851,316,7.099,3.109,2187,16427,2876,34.996
1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,30571,2085,1763,199,123,0.175,0.464,30015,4257,2338,1301,618,7.549,4.876,1279,31795,3900,41.163
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,382,4137,3405,418,314,0.351,1.089,378,4702,2773,1127,802,9.638,4.294,,156,2831,37.987
1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,364,7384,5526,1435,423,0.552,3.769,363,7461,3797,1847,1817,9.036,7.072,,368,3848,49.563
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4391,1954,1730,120,104,0.169,0.306,4229,4266,2117,1361,788,7.257,4.03,119,1902,5635,37.722
1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10088,2721,2420,202,99,0.243,0.549,10001,3933,1734,1121,1078,6.236,5.669,160,10180,5808,56.69
